xmic,k9055,n9055,k9505,n9505,k9082,n9082
0.553,0.022,1.935,0.039,1.711,0.008,2.519
0.55,0.022,1.935,0.039,1.71,0.007,2.519
0.548,0.023,1.936,0.039,1.711,0.008,2.524
0.546,0.023,1.934,0.039,1.71,0.008,2.523
0.543,0.022,1.935,0.04,1.711,0.007,2.527
0.541,0.022,1.935,0.04,1.71,0.007,2.528
0.538,0.023,1.936,0.04,1.711,0.007,2.533
0.536,0.023,1.935,0.04,1.71,0.007,2.532
0.534,0.023,1.936,0.04,1.711,0.006,2.537
0.532,0.023,1.935,0.04,1.71,0.007,2.537
0.529,0.023,1.936,0.04,1.711,0.007,2.542
0.527,0.023,1.935,0.04,1.71,0.007,2.542
0.525,0.023,1.937,0.04,1.711,0.007,2.547
0.522,0.024,1.935,0.04,1.71,0.007,2.547
0.52,0.023,1.936,0.04,1.711,0.007,2.551
0.518,0.024,1.936,0.041,1.71,0.007,2.552
0.516,0.024,1.937,0.041,1.711,0.008,2.556
0.513,0.024,1.936,0.041,1.71,0.008,2.557
0.511,0.025,1.937,0.041,1.711,0.008,2.561
0.509,0.024,1.936,0.041,1.71,0.008,2.561
0.507,0.025,1.937,0.041,1.711,0.008,2.566
0.505,0.025,1.936,0.041,1.71,0.009,2.566
0.502,0.025,1.937,0.041,1.711,0.009,2.571
0.5,0.025,1.936,0.041,1.71,0.01,2.572
0.498,0.026,1.937,0.042,1.711,0.01,2.576
0.496,0.025,1.936,0.042,1.71,0.01,2.576
0.494,0.025,1.937,0.042,1.711,0.01,2.581
0.492,0.025,1.936,0.042,1.71,0.011,2.582
0.489,0.026,1.937,0.042,1.711,0.011,2.586
0.487,0.026,1.937,0.042,1.71,0.012,2.587
0.485,0.026,1.938,0.043,1.711,0.012,2.591
0.483,0.026,1.937,0.043,1.71,0.013,2.593
0.481,0.026,1.938,0.043,1.711,0.013,2.597
0.479,0.026,1.937,0.043,1.71,0.014,2.598
0.477,0.027,1.938,0.043,1.711,0.015,2.603
0.475,0.027,1.937,0.043,1.71,0.016,2.603
0.473,0.027,1.939,0.043,1.711,0.016,2.608
0.471,0.027,1.937,0.043,1.71,0.017,2.608
0.469,0.027,1.938,0.044,1.712,0.017,2.613
0.467,0.027,1.938,0.044,1.711,0.018,2.614
0.465,0.027,1.939,0.044,1.712,0.019,2.618
0.462,0.028,1.938,0.044,1.711,0.02,2.619
0.46,0.028,1.939,0.044,1.712,0.02,2.624
0.458,0.028,1.938,0.044,1.711,0.021,2.625
0.457,0.028,1.939,0.044,1.712,0.021,2.629
0.455,0.028,1.938,0.045,1.711,0.022,2.631
0.453,0.028,1.939,0.045,1.712,0.023,2.636
0.451,0.028,1.939,0.045,1.711,0.024,2.636
0.449,0.029,1.94,0.045,1.712,0.024,2.641
0.447,0.028,1.939,0.045,1.711,0.025,2.642
0.445,0.029,1.94,0.045,1.712,0.026,2.648
0.443,0.029,1.939,0.046,1.711,0.026,2.649
0.441,0.029,1.94,0.046,1.713,0.027,2.654
0.439,0.029,1.94,0.046,1.711,0.029,2.656
0.437,0.029,1.941,0.046,1.713,0.031,2.66
0.435,0.03,1.94,0.047,1.712,0.031,2.661
0.433,0.03,1.941,0.047,1.713,0.032,2.667
0.431,0.03,1.941,0.047,1.712,0.034,2.668
0.43,0.03,1.942,0.047,1.713,0.035,2.673
0.428,0.031,1.941,0.048,1.712,0.036,2.674
0.426,0.031,1.942,0.048,1.713,0.037,2.68
0.424,0.031,1.941,0.048,1.712,0.038,2.68
0.422,0.031,1.942,0.048,1.713,0.039,2.686
0.42,0.032,1.941,0.049,1.712,0.042,2.687
0.419,0.031,1.942,0.049,1.713,0.042,2.692
0.417,0.032,1.942,0.049,1.712,0.044,2.694
0.415,0.032,1.943,0.049,1.713,0.045,2.699
0.413,0.032,1.942,0.05,1.712,0.046,2.7
0.411,0.033,1.943,0.05,1.714,0.048,2.705
0.41,0.033,1.942,0.05,1.712,0.049,2.706
0.408,0.033,1.943,0.05,1.714,0.049,2.712
0.406,0.033,1.943,0.05,1.713,0.051,2.715
0.404,0.033,1.944,0.051,1.714,0.053,2.72
0.402,0.033,1.943,0.051,1.713,0.054,2.721
0.401,0.033,1.945,0.052,1.714,0.054,2.727
0.399,0.034,1.944,0.052,1.713,0.056,2.729
0.397,0.035,1.945,0.052,1.714,0.057,2.735
0.396,0.034,1.944,0.052,1.713,0.059,2.737
0.394,0.035,1.946,0.053,1.714,0.061,2.742
0.392,0.035,1.945,0.053,1.713,0.062,2.744
0.39,0.035,1.946,0.053,1.714,0.064,2.751
0.389,0.036,1.945,0.054,1.713,0.066,2.752
0.387,0.036,1.946,0.054,1.715,0.066,2.758
0.385,0.036,1.946,0.055,1.713,0.068,2.761
0.384,0.036,1.947,0.055,1.715,0.069,2.767
0.382,0.037,1.946,0.055,1.714,0.07,2.77
0.38,0.037,1.948,0.056,1.715,0.073,2.777
0.379,0.038,1.946,0.056,1.714,0.074,2.779
0.377,0.038,1.947,0.056,1.715,0.075,2.785
0.375,0.038,1.947,0.057,1.713,0.077,2.788
0.374,0.038,1.948,0.057,1.715,0.079,2.796
0.372,0.039,1.947,0.057,1.714,0.08,2.798
0.371,0.039,1.949,0.058,1.715,0.081,2.806
0.369,0.039,1.948,0.058,1.714,0.083,2.81
0.367,0.039,1.949,0.059,1.715,0.085,2.818
0.366,0.04,1.948,0.059,1.714,0.087,2.822
0.364,0.04,1.95,0.06,1.715,0.089,2.83
0.363,0.04,1.949,0.06,1.714,0.091,2.834
0.361,0.041,1.95,0.06,1.715,0.094,2.843
0.359,0.041,1.949,0.061,1.714,0.096,2.847
0.358,0.041,1.951,0.061,1.715,0.098,2.857
0.356,0.042,1.95,0.062,1.714,0.102,2.862
0.355,0.042,1.951,0.062,1.715,0.105,2.871
0.353,0.043,1.95,0.063,1.714,0.108,2.876
0.352,0.043,1.952,0.063,1.715,0.111,2.885
0.35,0.044,1.951,0.063,1.714,0.115,2.891
0.349,0.044,1.952,0.064,1.715,0.119,2.901
0.347,0.044,1.951,0.064,1.714,0.123,2.908
0.346,0.044,1.953,0.065,1.715,0.128,2.918
0.344,0.045,1.952,0.066,1.714,0.132,2.924
0.343,0.045,1.954,0.066,1.715,0.138,2.935
0.341,0.046,1.953,0.067,1.714,0.144,2.942
0.34,0.046,1.954,0.067,1.715,0.15,2.952
0.338,0.047,1.953,0.068,1.713,0.156,2.959
0.337,0.047,1.954,0.068,1.714,0.164,2.97
0.335,0.047,1.954,0.069,1.713,0.172,2.976
0.334,0.048,1.955,0.069,1.714,0.18,2.984
0.332,0.048,1.954,0.07,1.713,0.186,2.99
0.331,0.049,1.956,0.07,1.714,0.195,3.0
0.33,0.049,1.955,0.071,1.713,0.201,3.003
0.328,0.05,1.956,0.071,1.714,0.206,3.014
0.327,0.05,1.956,0.072,1.713,0.211,3.023
0.325,0.051,1.957,0.072,1.714,0.222,3.039
0.324,0.051,1.956,0.073,1.712,0.233,3.045
0.322,0.052,1.957,0.073,1.713,0.242,3.057
0.321,0.052,1.957,0.074,1.712,0.255,3.066
0.32,0.053,1.958,0.074,1.713,0.268,3.077
0.318,0.053,1.957,0.075,1.712,0.281,3.083
0.317,0.054,1.958,0.076,1.713,0.296,3.091
0.316,0.054,1.958,0.076,1.711,0.306,3.096
0.314,0.054,1.959,0.077,1.712,0.321,3.108
0.313,0.055,1.958,0.077,1.711,0.337,3.11
0.311,0.055,1.96,0.078,1.712,0.348,3.119
0.31,0.056,1.959,0.079,1.711,0.365,3.126
0.309,0.056,1.96,0.079,1.712,0.382,3.13
0.307,0.057,1.96,0.08,1.71,0.393,3.133
0.306,0.058,1.961,0.08,1.711,0.411,3.144
0.305,0.058,1.961,0.081,1.71,0.43,3.141
0.303,0.059,1.962,0.082,1.711,0.442,3.146
0.302,0.059,1.962,0.082,1.709,0.46,3.151
0.301,0.06,1.962,0.083,1.71,0.479,3.152
0.299,0.059,1.962,0.084,1.709,0.491,3.15
0.298,0.06,1.964,0.084,1.71,0.508,3.157
0.297,0.061,1.964,0.085,1.708,0.527,3.153
0.296,0.062,1.965,0.086,1.709,0.539,3.153
0.294,0.063,1.965,0.086,1.707,0.551,3.153
0.293,0.063,1.967,0.087,1.708,0.569,3.16
0.292,0.065,1.966,0.088,1.707,0.587,3.155
0.29,0.066,1.968,0.089,1.707,0.599,3.155
0.289,0.066,1.967,0.089,1.706,0.612,3.156
0.288,0.067,1.969,0.09,1.707,0.63,3.162
0.287,0.068,1.968,0.091,1.705,0.649,3.158
0.285,0.069,1.969,0.091,1.705,0.663,3.157
0.284,0.07,1.968,0.092,1.703,0.676,3.158
0.283,0.071,1.971,0.093,1.704,0.697,3.164
0.282,0.072,1.97,0.093,1.702,0.719,3.158
0.281,0.073,1.971,0.094,1.703,0.734,3.155
0.279,0.074,1.97,0.094,1.701,0.749,3.154
0.278,0.075,1.972,0.095,1.702,0.773,3.159
0.277,0.076,1.971,0.095,1.7,0.797,3.148
0.276,0.077,1.972,0.096,1.7,0.813,3.142
0.275,0.078,1.972,0.096,1.698,0.83,3.135
0.273,0.079,1.974,0.096,1.699,0.846,3.135
0.272,0.08,1.973,0.097,1.698,0.87,3.13
0.271,0.082,1.975,0.098,1.698,0.894,3.12
0.27,0.083,1.974,0.098,1.696,0.911,3.105
0.269,0.084,1.975,0.098,1.697,0.926,3.098
0.267,0.085,1.974,0.099,1.695,0.941,3.086
0.266,0.086,1.976,0.099,1.696,0.956,3.082
0.265,0.088,1.976,0.1,1.694,0.978,3.072
0.264,0.089,1.977,0.1,1.694,0.998,3.059
0.263,0.091,1.976,0.101,1.692,1.011,3.041
0.262,0.092,1.977,0.101,1.693,1.023,3.031
0.261,0.093,1.976,0.101,1.691,1.036,3.016
0.259,0.095,1.978,0.102,1.692,1.047,3.007
0.258,0.096,1.978,0.102,1.69,1.059,2.994
0.257,0.098,1.979,0.102,1.69,1.07,2.986
0.256,0.1,1.979,0.103,1.688,1.084,2.976
0.255,0.102,1.979,0.103,1.689,1.099,2.963
0.254,0.104,1.978,0.104,1.687,1.108,2.948
0.253,0.105,1.979,0.104,1.688,1.118,2.94
0.252,0.106,1.978,0.104,1.685,1.129,2.926
0.251,0.108,1.979,0.104,1.686,1.137,2.918
0.25,0.109,1.978,0.105,1.684,1.147,2.908
0.248,0.112,1.979,0.105,1.685,1.158,2.901
0.247,0.113,1.978,0.105,1.682,1.168,2.891
0.246,0.115,1.979,0.105,1.683,1.179,2.886
0.245,0.117,1.978,0.106,1.681,1.191,2.879
0.244,0.119,1.979,0.106,1.682,1.209,2.876
0.243,0.121,1.977,0.106,1.68,1.228,2.861
0.242,0.123,1.977,0.106,1.68,1.242,2.85
0.241,0.124,1.976,0.106,1.678,1.257,2.836
0.24,0.127,1.977,0.106,1.679,1.273,2.827
0.239,0.128,1.974,0.106,1.677,1.289,2.811
0.238,0.129,1.976,0.107,1.677,1.304,2.801
0.237,0.131,1.973,0.107,1.675,1.322,2.784
0.236,0.133,1.974,0.107,1.676,1.338,2.77
0.235,0.134,1.972,0.107,1.674,1.355,2.751
0.234,0.136,1.973,0.107,1.674,1.372,2.735
0.233,0.137,1.971,0.107,1.672,1.388,2.711
0.232,0.139,1.972,0.107,1.673,1.403,2.692
0.231,0.14,1.97,0.107,1.671,1.417,2.665
0.23,0.141,1.971,0.107,1.672,1.428,2.643
0.229,0.143,1.969,0.106,1.67,1.44,2.616
0.228,0.144,1.97,0.106,1.671,1.447,2.59
0.227,0.146,1.969,0.106,1.668,1.453,2.563
0.226,0.148,1.969,0.106,1.669,1.459,2.538
0.225,0.149,1.968,0.106,1.667,1.46,2.509
0.224,0.151,1.968,0.106,1.668,1.461,2.487
0.223,0.153,1.967,0.106,1.666,1.459,2.459
0.222,0.155,1.968,0.106,1.668,1.457,2.439
0.221,0.157,1.966,0.105,1.666,1.454,2.413
0.22,0.158,1.967,0.105,1.667,1.448,2.396
0.219,0.161,1.965,0.105,1.665,1.444,2.374
0.218,0.162,1.966,0.105,1.666,1.437,2.359
0.217,0.165,1.964,0.105,1.664,1.43,2.342
0.216,0.167,1.963,0.105,1.665,1.424,2.333
0.215,0.167,1.961,0.105,1.664,1.424,2.318
0.214,0.17,1.963,0.105,1.665,1.42,2.304
0.213,0.172,1.962,0.104,1.663,1.415,2.29
0.212,0.175,1.963,0.104,1.664,1.411,2.281
0.212,0.178,1.96,0.104,1.662,1.408,2.268
0.211,0.18,1.961,0.104,1.664,1.405,2.261
0.21,0.183,1.959,0.104,1.662,1.404,2.249
0.209,0.188,1.96,0.104,1.663,1.399,2.242
0.208,0.191,1.955,0.104,1.662,1.4,2.235
0.207,0.194,1.955,0.104,1.663,1.401,2.229
0.206,0.197,1.951,0.104,1.661,1.404,2.22
0.205,0.199,1.949,0.104,1.663,1.407,2.211
0.204,0.199,1.945,0.104,1.661,1.407,2.202
0.203,0.202,1.946,0.104,1.662,1.413,2.197
0.203,0.205,1.942,0.104,1.66,1.417,2.186
0.202,0.207,1.941,0.104,1.662,1.424,2.179
0.201,0.21,1.937,0.104,1.66,1.43,2.167
0.2,0.212,1.935,0.103,1.662,1.438,2.158
0.199,0.215,1.931,0.103,1.66,1.444,2.144
0.198,0.216,1.928,0.103,1.662,1.453,2.131
0.197,0.216,1.924,0.103,1.661,1.453,2.115
0.196,0.219,1.923,0.103,1.663,1.462,2.11
0.196,0.22,1.918,0.103,1.662,1.47,2.093
0.195,0.221,1.917,0.104,1.664,1.482,2.083
0.194,0.223,1.912,0.105,1.662,1.491,2.061
0.193,0.224,1.911,0.105,1.664,1.5,2.049
0.192,0.225,1.905,0.106,1.662,1.511,2.022
0.191,0.225,1.904,0.106,1.664,1.511,2.005
0.191,0.226,1.9,0.107,1.663,1.521,1.988
0.19,0.226,1.898,0.107,1.665,1.53,1.968
0.189,0.227,1.893,0.107,1.663,1.54,1.944
0.188,0.227,1.892,0.108,1.665,1.548,1.918
0.187,0.227,1.888,0.108,1.663,1.548,1.891
0.186,0.227,1.887,0.109,1.666,1.555,1.871
0.186,0.227,1.882,0.11,1.664,1.56,1.838
0.185,0.227,1.881,0.111,1.667,1.563,1.813
0.184,0.227,1.877,0.112,1.665,1.564,1.778
0.183,0.227,1.876,0.114,1.666,1.562,1.752
0.182,0.227,1.872,0.114,1.664,1.562,1.716
0.182,0.227,1.872,0.115,1.667,1.555,1.686
0.181,0.227,1.868,0.116,1.665,1.547,1.65
0.18,0.226,1.867,0.118,1.666,1.535,1.626
0.179,0.226,1.863,0.118,1.664,1.535,1.593
0.179,0.226,1.863,0.12,1.667,1.517,1.552
0.178,0.226,1.86,0.121,1.664,1.498,1.524
0.177,0.226,1.86,0.123,1.667,1.475,1.492
0.176,0.226,1.856,0.125,1.663,1.45,1.48
0.175,0.226,1.856,0.125,1.665,1.45,1.453
0.175,0.226,1.852,0.126,1.662,1.421,1.415
0.174,0.226,1.853,0.128,1.664,1.391,1.392
0.173,0.226,1.849,0.129,1.66,1.358,1.385
0.172,0.226,1.849,0.129,1.662,1.358,1.37
0.172,0.226,1.845,0.131,1.66,1.323,1.333
0.171,0.227,1.846,0.133,1.661,1.29,1.324
0.17,0.227,1.842,0.134,1.657,1.256,1.322
0.169,0.227,1.842,0.134,1.659,1.256,1.319
0.169,0.228,1.838,0.136,1.657,1.222,1.284
0.168,0.228,1.838,0.137,1.658,1.188,1.288
0.167,0.228,1.834,0.138,1.654,1.157,1.288
0.167,0.228,1.835,0.138,1.655,1.157,1.299
0.166,0.229,1.831,0.14,1.653,1.128,1.267
0.165,0.229,1.831,0.141,1.654,1.1,1.292
0.164,0.229,1.826,0.141,1.65,1.1,1.278
0.164,0.23,1.827,0.142,1.653,1.075,1.274
0.163,0.23,1.822,0.144,1.649,1.051,1.268
0.162,0.231,1.823,0.145,1.651,1.031,1.286
0.162,0.231,1.818,0.145,1.647,1.031,1.282
0.161,0.231,1.819,0.146,1.65,1.013,1.279
0.16,0.232,1.814,0.148,1.645,0.996,1.283
0.159,0.232,1.815,0.148,1.648,0.996,1.289
0.159,0.232,1.81,0.149,1.645,0.981,1.273
0.158,0.232,1.811,0.151,1.647,0.967,1.288
0.157,0.232,1.806,0.151,1.643,0.967,1.281
0.157,0.233,1.807,0.153,1.647,0.955,1.279
0.156,0.233,1.802,0.155,1.642,0.943,1.278
0.155,0.233,1.803,0.155,1.645,0.943,1.282
0.155,0.234,1.799,0.157,1.642,0.933,1.267
0.154,0.235,1.8,0.16,1.645,0.922,1.272
0.153,0.236,1.794,0.162,1.64,0.912,1.266
0.153,0.236,1.795,0.162,1.642,0.912,1.274
0.152,0.237,1.791,0.165,1.64,0.902,1.256
0.151,0.239,1.792,0.169,1.641,0.894,1.269
0.151,0.239,1.786,0.169,1.636,0.894,1.254
0.15,0.24,1.788,0.173,1.64,0.884,1.26
0.149,0.24,1.781,0.173,1.634,0.884,1.247
0.149,0.242,1.784,0.177,1.641,0.875,1.246
0.148,0.245,1.777,0.182,1.633,0.868,1.238
0.147,0.245,1.779,0.182,1.636,0.868,1.24
0.147,0.247,1.773,0.187,1.633,0.859,1.221
0.146,0.25,1.773,0.193,1.633,0.852,1.23
0.146,0.25,1.766,0.193,1.626,0.852,1.214
0.145,0.254,1.769,0.2,1.634,0.845,1.214
0.144,0.257,1.758,0.207,1.621,0.838,1.201
0.144,0.257,1.76,0.207,1.624,0.838,1.204
0.143,0.262,1.751,0.215,1.616,0.831,1.184
0.142,0.262,1.751,0.215,1.617,0.831,1.189
0.142,0.266,1.744,0.223,1.613,0.825,1.163
0.141,0.27,1.742,0.231,1.609,0.819,1.17
0.141,0.27,1.731,0.231,1.598,0.819,1.146
0.14,0.275,1.734,0.24,1.605,0.813,1.146
0.139,0.28,1.718,0.25,1.585,0.806,1.123
0.139,0.28,1.718,0.25,1.586,0.806,1.129
0.138,0.285,1.703,0.259,1.571,0.802,1.098
0.138,0.285,1.702,0.259,1.569,0.802,1.102
0.137,0.29,1.689,0.269,1.559,0.797,1.062
0.136,0.295,1.683,0.279,1.55,0.794,1.07
0.136,0.295,1.664,0.279,1.531,0.794,1.025
0.135,0.3,1.662,0.289,1.528,0.789,1.029
0.135,0.3,1.637,0.289,1.501,0.789,0.977
0.134,0.305,1.636,0.299,1.501,0.786,0.98
0.133,0.305,1.603,0.299,1.464,0.786,0.91
0.133,0.31,1.605,0.309,1.471,0.781,0.909
0.132,0.314,1.556,0.32,1.414,0.775,0.816
0.132,0.314,1.556,0.32,1.413,0.775,0.819
0.131,0.318,1.482,0.331,1.331,0.77,0.656
0.131,0.318,1.479,0.331,1.326,0.77,0.66
0.13,0.322,1.273,0.341,1.106,0.764,0.181
